name,price,engineSize,year,mileage,fuelType,priceToEngineSizeRatio,link
Audi A8 D5,399900,2967,2018,21857,Diesel,134783,otomoto.pl/oferta/audi-a8-fv23-bang-olufsen-head-up-night-vision-oled-ogrzewanie-pstojowe-ID6BNxcq.html
Audi A6 C8,269534,2000,2018,1,Diesel,134767,otomoto.pl/oferta/audi-a6-gratis-od-2-346-zl-m-taniej-o-58-486-wyprzedaz-rocznika-hak-ID6BzFAJ.html
BMW X3 G01,269343,2000,2019,5,Benzyna,134672,otomoto.pl/oferta/bmw-x3-xdrive-20i-m-sport-184-km-ID6BHAZf.html
Jaguar F-Pace,269000,1999,2018,8000,Diesel,134567,otomoto.pl/oferta/jaguar-f-pace-jaguar-f-pace-2-0-i4d-240km-awd-ID6BzkEl.html
Audi A6 C8,263417,1968,2018,5,Diesel,133850,otomoto.pl/oferta/audi-a6-limousine-40-tdi-204-km-s-tronic-4-kola-zimowe-gratis-ID6BEqn9.html
Renault Alpine A110,240000,1800,2018,2033,Benzyna,133333,otomoto.pl/oferta/renault-alpine-a110-do-przejecia-leasing-premiere-edition-no-823-1955-ID6BK3jn.html
Audi A5 F5,260900,1968,2019,5000,Diesel,132571,otomoto.pl/oferta/audi-a5-sport-40-tdi-190-km-quattro-s-tronic-b-o-led-demo-aso-krotoski-cichy-ID6BFc1G.html
Audi Q5 FY,260500,1968,2018,5,Diesel,132368,otomoto.pl/oferta/audi-q5-sport-40-tdi-190-km-pneumatyka-hak-quattro-pakiet-serwisowy-gratis-ID6Bum43.html
Audi Q7 II,390500,2967,2018,5,Diesel,131614,otomoto.pl/oferta/audi-q7-50-tdi-286-km-quattro-tiptronic-matrix-led-kola-zimowe-gratis-ID6BEBiy.html
Porsche 911 991,499999,3800,2014,77730,Benzyna,131579,otomoto.pl/oferta/porsche-911-porsche-911-turbo-ID6ByEN1.html
Volvo V90,259000,1969,2018,12000,Diesel,131539,otomoto.pl/oferta/volvo-v90-d5-awd-polestar-r-design-salon-pl-fv23-ID6BPfGf.html
Audi Q3,196900,1498,2019,5000,Benzyna,131442,otomoto.pl/oferta/audi-q3-nowe-q3-s-line-35-tfsi-150-km-s-tronic-demo-audi-centrum-lodz-ID6Bx5ua.html
Audi A6 C8,262316,2000,2019,1,Diesel,131158,otomoto.pl/oferta/audi-a6-od-reki-taniej-o-16-744-zl-rocznik-2019-domykanie-matrix-kam-ID6BLf3I.html
